evaluationIndex,f,Nu,NuBoundary,obj,x1,x2,x3,x4,x5,x6,x7,x8,grad1,grad2,grad3,grad4,grad5,grad6,grad7,grad8
13,1.3241101777221156,8.188580980861113,8.27960540730195,-2.5184319566860074,0.013309930290372887,-0.008927744961103207,0.006572074756362539,-0.00858617022230203,-0.004515397366112117,0.005409596319594073,-0.00783267731077537,0.0007088551867341218,0.7017841442813477,-0.17341674496007542,0.22681451407580155,0.3582205647330028,0.12992720054239015,0.22874716535925543,0.4943533106802622,-0.14800259486902334
14,1.3241160191746375,8.188313978102137,8.280327741514489,-2.518749769612379,0.013286583368520953,-0.008926363305261212,0.006634977320129146,-0.008687226774414525,-0.004534418532149016,0.005503987581081206,-0.0079262834767979,0.0007051195173927551,0.7972608652986324,0.0516367978349308,0.38861891138353144,0.5113929909463799,0.4212704259334288,0.3355532548892093,0.6692109395454171,-0.06727816067764181
15,1.3241504526578702,8.188300527969533,8.280149030199329,-2.5186390492388857,0.013274909907594985,-0.008925672477340215,0.006666428602012449,-0.008737755050470773,-0.0045439291151674645,0.0055511832118247725,-0.007973086559809165,0.0007032516827220718,0.9179599492703527,0.08032020443904386,0.47918136302205205,0.3415907252961592,0.3698332846451269,0.23118830982871152,0.6072573555295779,-0.05424136214360331
16,1.324152491840192,8.188144668485767,8.280215902602617,-2.518667131586684,0.013269073177132003,-0.008925327063379717,0.0066821542429541005,-0.008763019188498896,-0.00454868440667669,0.005574781027196556,-0.007996488101314798,0.0007023177653867302,0.8672730785290739,0.021634719904017885,0.484354477944704,0.40835457832488764,0.21522055812028817,0.2581550153279988,0.5991039918802343,-0.05547762180158067
17,1.3241551682361932,8.187992864410548,8.280221246432554,-2.518667127578726,0.01326615481190051,-0.008925154356399467,0.006690017063424927,-0.008775651257512958,-0.004551062052431301,0.005586579934882448,-0.008008188872067615,0.0007018508067190593,0.7917824621221925,-0.026707202109399475,0.4148455145926988,0.35520322363602475,0.17634256936815973,0.24858103579528112,0.5837821523513309,-0.15015999597123297
18,1.324159534340239,8.1880162041104,8.279531144695095,-2.5183545995372794,0.013264695629284765,-0.008925068002909342,0.00669394847366034,-0.00878196729201999,-0.004552250875308608,0.005592479388725394,-0.008014039257444023,0.0007016173273852239,0.7137264172667468,-0.1849782437794989,0.2539353511070708,0.2512829787690851,0.12732437341900216,0.050597523985729254,0.45583088607248357,-0.24318575872661619
19,1.3241633480451627,8.188064369036198,8.279529598383464,-2.5183504969243127,0.013265425220592637,-0.008925111179654404,0.006691982768542633,-0.008778809274766474,-0.004551656463869955,0.005589529661803921,-0.008011114064755818,0.0007017340670521416,0.7143831512215204,-0.13430662957714112,0.22250570700399486,0.18915205301861526,0.07270222656607928,0.06797098421507108,0.4242363657360748,-0.22211939212124499
20,1.324164449794373,8.188079530399431,8.280203776111353,-2.518651012935557,0.013265790016246573,-0.008925132768026936,0.00669099991598378,-0.008777230266139715,-0.004551359258150628,0.005588054798343184,-0.008009651468411717,0.0007017924368856005,0.78792870039468,0.02181102351661579,0.36253099056260396,0.32139340687264983,0.07410837549626237,0.1472117500562753,0.6069545701159473,-0.0993805242264223
21,1.3241686195404165,8.188077965228969,8.279524795980757,-2.5183436342558387,0.013265607618419606,-0.00892512197384067,0.006691491342263206,-0.008778019770453095,-0.0045515078610102915,0.005588792230073553,-0.008010382766583769,0.0007017632519688711,0.7539295031575577,-0.21633328209769154,0.18048144594295934,0.2342468030804845,0.07106734981165985,-0.06494904794096534,0.4517340245335788,-0.2558002690808969
22,1.3241762433668829,8.188080888187798,8.280186204305586,-2.5186326060931883,0.01326569881733309,-0.008925127370933802,0.006691245629123493,-0.008777625018296405,-0.00455143355958046,0.005588423514208368,-0.008010017117497742,0.0007017778444272358,0.7927263694185172,-0.058998371060825505,0.34776082059817526,0.3544161634891907,0.17876437393837818,0.22519462218206776,0.6386914003000399,0.00909978311547377
23,1.3241788962012349,8.188087612439865,8.279524790482064,-2.5183344400718797,0.013265653217876348,-0.008925124672387236,0.00669136848569335,-0.00877782239437475,-0.004551470710295376,0.005588607872140961,-0.008010199942040755,0.0007017705481980535,0.5280142234505014,-0.18385813366483816,0.25741087951569597,0.15510390191364465,0.06380701078967377,0.04597505671033453,0.4425956406937104,-0.2108271531997552
24,1.3241785816942155,8.188082631578524,8.279530044798388,-2.5183370711772053,0.013265676017604719,-0.008925126021660519,0.006691307057408422,-0.008777723706335578,-0.004551452134937918,0.005588515693174664,-0.008010108529769248,0.0007017741963126446,0.5391135334136266,-0.13880258927367883,0.28125458071048826,0.2333334678543686,0.04762878930275605,0.04246856917822228,0.433794600746662,-0.20320594016043358
25,1.3241989364010365,8.18802694109154,8.280130792365101,-2.5185875278532572,0.013265687417468905,-0.00892512669629716,0.006691276343265958,-0.008777674362315992,-0.004551442847259189,0.0055884696036915165,-0.008010062823633497,0.0007017760203699402,0.8057492813722256,-0.07203721860893353,0.3553227153485494,0.2880188561791286,-0.0006279523012686639,0.1314966526841932,0.6560802905006824,-0.09872101530694621
26,1.3241974964609482,8.188072607171089,8.27947804213056,-2.518296896995473,0.013265681717536811,-0.00892512635897884,0.0066912917003371895,-0.008777699034325785,-0.0045514474910985534,0.005588492648433091,-0.008010085676701372,0.0007017751083412924,0.7561678928003079,-0.25175475608563147,0.24606389337433754,0.12755293470401163,0.030112030134255008,0.05156091244762351,0.3779062352267104,-0.2490220086470707
27,1.324192658266141,8.188073393429757,8.279531632568748,-2.5183251907810105,0.013265684567502857,-0.008925126527638001,0.006691284021801573,-0.008777686698320887,-0.004551445169178871,0.005588481126062303,-0.008010074250167434,0.0007017755643556162,0.6397787462777416,-0.2923986131906364,0.26003687499365213,0.24200198212387392,-0.012686841417419714,0.048134807257183,0.364190015354815,-0.2351454526334784
28,1.3241867024450684,8.188204132327535,8.280275833532087,-2.518663334617912,0.013265685992485881,-0.008925126611967581,0.006691280182533765,-0.008777680530318438,-0.00455144400821903,0.00558847536487691,-0.008010068536900464,0.0007017757923627782,0.872436086864603,0.033906149059514945,0.42088457893241227,0.34632041199067487,0.2529181580377404,0.17668052583186267,0.5668084854724142,0.07008291103827169
29,1.3241861776737591,8.188101388773452,8.280231152045191,-2.518643821819233,0.013265685279994369,-0.00892512656980279,0.00669128210216767,-0.008777683614319663,-0.004551444588698951,0.0055884782454696065,-0.008010071393533949,0.0007017756783591973,1.0054716146514764,0.013959427486387455,0.3673804710362383,0.37704040101749214,0.28161563088424657,0.18122200283565704,0.5992766340323641,-0.03954414635964909
30,1.3241880286086853,8.1881252034199,8.279571292735605,-2.5183470682383424,0.013265684923748614,-0.008925126548720396,0.0066912830619846216,-0.008777685156320275,-0.00455144487893891,0.005588479685765955,-0.008010072821850692,0.0007017756213574068,0.5720439918204256,-0.18827311883540254,0.21752243267014748,0.18418317560064956,-0.024879086392814997,0.08271041831076076,0.5016161792705809,-0.2698321600251852
31,1.3241976990493174,8.188138220902834,8.279569249737193,-2.5183375050766266,0.013265685101871491,-0.008925126559261594,0.006691282582076146,-0.00877768438531997,-0.004551444733818931,0.00558847896561778,-0.00801007210769232,0.000701775649858302,0.6860104518651156,-0.14385476497924543,0.32916705388741363,0.19896510223205155,0.120710366557919,0.05637289441451365,0.48243781502432803,-0.229962353823554
32,1.3241965315073359,8.188125080178544,8.280250788586887,-2.5186433427973656,0.01326568519093293,-0.008925126564532192,0.006691282342121907,-0.008777683999819815,-0.00455144466125894,0.005588478605543693,-0.008010071750613135,0.0007017756641087497,0.8134992194355206,-0.08843873451702677,0.45822718971377796,0.3711349964505839,0.23463524626254895,0.07278733127291659,0.6644753936231318,0.001193408526223294
33,1.3241994428018107,8.188149085573395,8.280249224064242,-2.518640039180629,0.01326568514640221,-0.008925126561896892,0.006691282462099026,-0.008777684192569891,-0.0045514446975389354,0.005588478785580737,-0.008010071929152728,0.0007017756569835258,0.8531578664698891,-0.042563370537429535,0.4136192355941315,0.36728149076736827,0.22906720312909634,0.1379736657365349,0.5473559229178804,-0.04390961183453612
34,1.3242030252573171,8.188140765392333,8.280238372569382,-2.518631981998981,0.013265685124136851,-0.008925126560579243,0.0066912825220875865,-0.008777684288944931,-0.004551444715678933,0.005588478875599259,-0.008010072018422524,0.0007017756534209139,0.7503354564151188,-0.02218188817604272,0.41421366986371666,0.350780599105871,0.2957329264385855,0.15442799729292744,0.6447063734680292,-0.08266123290567862
